H_TENURE,GEREG,HEFAMINC,HH5TO18,HNUMFAM,H_NUMPER,H_YEAR,H_MONTH,HHINC,HWSVAL,HSEVAL,HEARNVAL,HFRVAL,HANNVAL,HCSPVAL,HDISVAL,HDIVVAL,HEDVAL,HFINVAL,HINTVAL,HOIVAL,HOTHVAL,HPAWVAL,HPENVAL,HRNTVAL,HSSIVAL,HSSVAL,HSURVAL,HUCVAL,HVETVAL,HWCVAL,HPROP_VAL
1,4,13,2,1,4,2020,3,26,63200,0,63200,0,0,0,0,362,0,0,580,0,942,0,0,0,0,0,0,0,0,0,330000
1,4,11,0,1,1,2020,3,10,0,0,0,0,0,0,0,0,0,0,30,0,23358,0,0,0,0,23328,0,0,0,0,250000
1,4,15,0,1,2,2020,3,41,0,0,0,0,0,0,0,6700,0,0,173,0,127325,0,73000,0,0,46452,0,0,0,0,300000
2,4,4,3,1,6,2020,3,5,10800,0,10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,7,0,1,1,2020,3,13,32000,0,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,14,0,1,3,2020,3,41,65000,32000,97000,0,0,0,0,0,0,0,1850,0,5930,0,0,0,0,4080,0,0,0,0,550000
1,4,8,2,1,4,2020,3,13,28000,0,28000,0,0,3000,0,0,0,0,5,0,3005,0,0,0,0,0,0,0,0,0,395000
1,4,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,14,0,1,2,2020,3,41,96000,0,96000,0,0,0,0,10000,0,0,3508,0,16094,0,0,0,0,2586,0,0,0,0,500000
1,4,14,0,1,1,2020,3,41,100000,0,100000,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,250000
1,4,13,2,1,3,2020,3,24,26500,16000,42500,0,0,0,0,10000,0,0,5515,0,15515,0,0,0,0,0,0,0,0,0,825000
2,4,7,0,1,1,2020,3,25,0,60000,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,16,0,1,2,2020,3,41,178000,4800,182800,0,0,0,0,0,0,0,15711,4800,20511,0,0,0,0,0,0,0,0,0,350000
2,4,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,13,2,1,3,2020,3,26,63000,0,63000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000
2,4,8,0,1,1,2020,3,37,90000,0,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,14,1,2,4,2020,3,38,91520,0,91520,0,0,0,0,0,0,0,3224,0,3224,0,0,0,0,0,0,0,0,0,0
2,4,14,3,1,8,2020,3,41,141000,0,141000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,15,3,1,5,2020,3,41,131002,0,131002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,1,3,1,4,2020,3,5,12000,0,12000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2,4,6,0,2,2,2020,3,23,57000,0,57000,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0
