H_TENURE,GEREG,HEFAMINC,HH5TO18,HNUMFAM,H_NUMPER,H_YEAR,H_MONTH,HHINC,HWSVAL,HSEVAL,HEARNVAL,HFRVAL,HANNVAL,HCSPVAL,HDISVAL,HDIVVAL,HEDVAL,HFINVAL,HINTVAL,HOIVAL,HOTHVAL,HPAWVAL,HPENVAL,HRNTVAL,HSSIVAL,HSSVAL,HSURVAL,HUCVAL,HVETVAL,HWCVAL,HPROP_VAL
2,1,16,0,1,2,2020,3,41,220000,45000,265000,0,0,0,0,5,0,0,2119,0,2124,0,0,0,0,0,0,0,0,0,0
1,1,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,9,2,1,4,2020,3,15,35000,0,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,14,2,1,4,2020,3,29,70000,0,70000,0,0,0,0,0,0,0,92,0,92,0,0,0,0,0,0,0,0,0,0
1,1,16,2,1,3,2020,3,12,18000,-2000,16000,0,0,0,0,0,8500,3600,0,0,12100,0,0,0,0,0,0,0,0,0,160000
1,1,16,0,1,3,2020,3,41,205000,0,205000,0,0,0,0,0,0,0,150,0,150,0,0,0,0,0,0,0,0,0,475000
2,1,14,2,1,4,2020,3,40,92000,0,92000,0,0,0,0,0,0,0,7075,0,7075,0,0,0,0,0,0,0,0,0,0
1,1,16,0,1,2,2020,3,30,25300,0,25300,0,0,0,0,17500,0,0,18127,0,48827,0,13200,0,0,0,0,0,0,0,175000
1,1,6,0,1,2,2020,3,22,54000,0,54000,0,0,0,0,0,0,0,551,0,551,0,0,0,0,0,0,0,0,0,250000
2,1,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,15,1,1,4,2020,3,41,136000,0,136000,0,0,0,0,0,350,0,1206,0,1556,0,0,0,0,0,0,0,0,0,350000
2,1,12,1,1,3,2020,3,41,45000,80000,125000,0,0,0,0,0,0,0,1635,0,1635,0,0,0,0,0,0,0,0,0,0
2,1,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,16,2,1,4,2020,3,41,150000,60000,210000,0,0,0,0,200,0,0,12650,0,12850,0,0,0,0,0,0,0,0,0,545000
2,1,14,0,2,2,2020,3,41,146000,0,146000,0,0,0,0,0,0,0,0,0,4800,0,0,0,0,0,0,4800,0,0,0
1,1,16,3,1,6,2020,3,41,300000,0,300000,0,0,0,0,0,0,0,3681,0,3681,0,0,0,0,0,0,0,0,0,550000
2,1,11,1,1,3,2020,3,15,36700,0,36700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,16,1,1,4,2020,3,41,341000,0,341000,0,0,0,0,100,0,0,921,0,8221,0,0,0,0,0,0,0,7200,0,575000
1,1,10,0,1,1,2020,3,16,0,0,0,0,0,0,0,1500,0,0,0,0,39120,0,24000,0,0,13620,0,0,0,0,180000
2,1,4,0,1,1,2020,3,5,0,0,0,0,0,0,0,0,0,0,0,0,10008,0,0,0,2592,7416,0,0,0,0,0
1,1,16,0,1,3,2020,3,41,180000,0,180000,0,0,0,0,0,0,0,531,0,531,0,0,0,0,0,0,0,0,0,1195000
2,1,15,2,1,5,2020,3,41,210000,0,210000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2,1,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,13,0,1,2,2020,3,37,844,0,844,0,0,0,0,5969,0,0,44228,0,89605,0,0,7500,0,31908,0,0,0,0,367000
1,1,7,0,1,1,2020,3,25,0,0,0,0,0,0,0,24000,0,0,1600,0,62026,0,0,1200,0,25626,0,0,0,0,800000
1,1,16,0,1,2,2020,3,41,171000,0,171000,0,0,0,0,0,0,0,74900,0,224900,0,0,150000,0,0,0,0,0,0,800000
2,1,10,0,1,1,2020,3,19,0,0,0,0,0,0,0,0,0,0,102,0,45302,0,25200,0,0,18000,0,0,0,0,0
1,1,4,1,1,4,2020,3,41,200000,0,200000,0,0,0,0,0,0,0,210,0,210,0,0,0,0,0,0,0,0,0,375000
2,1,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,0,1,1,2020,3,9,0,0,0,0,0,0,0,0,0,0,21,0,22239,0,4458,0,0,17760,0,0,0,0,0
1,1,15,1,1,3,2020,3,41,145000,0,145000,0,0,0,0,0,0,0,301,0,301,0,0,0,0,0,0,0,0,0,300000
1,1,9,5,1,7,2020,3,17,41000,0,41000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000
1,1,15,3,1,5,2020,3,29,68000,0,68000,0,0,0,0,0,0,0,2008,0,2008,0,0,0,0,0,0,0,0,0,872000
2,1,10,0,2,2,2020,3,41,105000,0,104999,-1,0,0,0,0,0,0,3011,0,3011,0,0,0,0,0,0,0,0,0,0
1,1,10,0,1,2,2020,3,41,285000,0,285000,0,0,0,0,5000,0,0,10030,0,15032,0,0,2,0,0,0,0,0,0,180000
1,1,14,0,2,2,2020,3,41,35000,0,35000,0,0,0,0,0,0,0,90001,0,99685,0,0,0,9684,0,0,0,0,0,450000
2,1,12,0,1,1,2020,3,15,9301,0,9301,0,0,0,0,0,0,0,25941,0,25941,0,0,0,0,0,0,0,0,0,0
1,1,12,0,1,1,2020,3,24,0,0,0,0,0,0,0,0,0,0,14000,0,59600,0,26400,0,0,19200,0,0,0,0,249000
1,1,16,2,1,5,2020,3,41,203000,0,203000,0,0,0,0,0,0,0,7100,0,7100,0,0,0,0,0,0,0,0,0,700000
2,1,10,2,1,4,2020,3,22,30000,0,30000,0,0,0,0,1,0,0,7021,0,22622,0,0,0,0,0,0,15600,0,0,0
2,1,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,8,0,1,1,2020,3,8,0,0,0,0,0,0,8400,0,0,0,1,0,18001,0,0,0,1200,8400,0,0,0,0,0
1,1,7,0,1,1,2020,3,7,0,0,0,0,0,0,0,0,0,0,51,0,16011,0,0,0,0,15960,0,0,0,0,1000000
1,1,14,3,2,5,2020,3,27,66000,0,66000,0,0,0,0,0,0,0,102,0,102,0,0,0,0,0,0,0,0,0,130000
2,1,9,0,2,2,2020,3,24,0,0,0,0,0,0,0,0,0,0,69,0,57809,0,0,0,0,50740,0,0,0,0,0
1,1,11,0,1,1,2020,3,11,0,0,0,0,0,0,0,0,0,0,57,0,25460,0,24000,0,0,647,756,0,0,0,250000
1,1,16,0,1,3,2020,3,41,162000,0,162000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000
1,1,11,1,1,2,2020,3,23,56000,0,56000,0,0,0,0,1,0,0,166,0,167,0,0,0,0,0,0,0,0,0,265000
1,1,9,0,1,1,2020,3,20,0,38000,38000,0,0,0,0,0,0,0,0,0,9600,0,0,9600,0,0,0,0,0,0,600000
1,1,11,0,1,1,2020,3,21,40000,0,40000,0,0,0,0,0,0,0,10010,0,10010,0,0,0,0,0,0,0,0,0,160000
1,1,8,0,1,1,2020,3,11,0,0,0,0,0,0,0,0,0,0,150,0,26266,0,8436,0,0,16000,0,0,1680,0,250000
2,1,6,2,1,3,2020,3,3,0,400,400,0,0,0,0,0,0,0,0,0,6600,6600,0,0,0,0,0,0,0,0,0
1,1,16,0,1,3,2020,3,41,223000,0,223000,0,0,0,0,5000,0,0,45400,0,50400,0,0,0,0,0,0,0,0,0,330000
1,1,14,0,1,4,2020,3,41,85687,19047,104734,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,250000
1,1,13,0,1,2,2020,3,36,50000,0,50000,0,0,0,0,0,0,0,112,0,38138,0,0,0,0,37626,0,0,0,0,265000
1,1,15,0,1,2,2020,3,41,150000,0,150000,0,0,0,0,0,0,0,645,0,645,0,0,0,0,0,0,0,0,0,300000
2,1,13,0,1,2,2020,3,41,98400,0,98400,0,0,0,0,0,0,0,2580,0,2580,0,0,0,0,0,0,0,0,0,0
1,1,15,0,1,4,2020,3,28,67055,0,67055,0,0,0,0,447,0,0,1921,0,2368,0,0,0,0,0,0,0,0,0,750000
2,1,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,15,0,1,4,2020,3,41,140000,98000,238000,0,0,0,0,3000,0,0,10005,0,51605,0,0,5000,0,33600,0,0,0,0,320000
2,1,3,0,1,1,2020,3,21,52000,0,52000,0,0,0,0,0,0,0,300,0,300,0,0,0,0,0,0,0,0,0,0
